name,gramsPerCup
"Stewed, seasoned, ground beef and pork, Mexican style",222.0
"Meat with gravy, NS as to type of meat,",244.0
"Beef and potatoes, no sauce",190.0
"Beef stew with potatoes, tomato-based sauce, Mexican style",244.0
"Beef and potatoes with cream sauce, white sauce or mushroom sauce",252.0
"Beef, roast, hash",190.0
Corned beef hash,220.0
Beef and potatoes with cheese sauce,249.0
"Stewed, seasoned, ground beef with potatoes, Mexican style",222.0
"Beef and noodles, no sauce",156.0
Beef and macaroni with cheese sauce,246.0
Beef and noodles with tomato-based sauce,249.0
Chili con carne with beans and macaroni,253.0
Beef goulash with noodles,249.0
Beef and noodles with gravy,249.0
Beef and noodles with cream or white sauce,249.0
Beef stroganoff with noodles,256.0
Beef and noodles with mushroom sauce,249.0
Beef and noodles with soy-based sauce,249.0
"Beef and rice, no sauce",196.0
Biryani with meat,196.0
Beef and rice with tomato-based sauce,244.0
Porcupine balls with tomato-based sauce,176.0
Beef and rice with gravy,222.0
Beef and rice with cream sauce,248.0
Beef and rice with mushroom sauce,248.0
Porcupine balls with mushroom sauce,176.0
Beef and rice with soy-based sauce,244.0
Beef and rice with cheese sauce,248.0
Meat loaf made with beef,140.0
"Meat loaf made with beef, with tomato-based sauce",178.0
"Stuffed pot roast, with potatoes, Puerto Rican style",190.0
"Beef stew with potatoes, Puerto Rican style",212.0
"Stewed corned beef, Puerto Rican style",280.0
Meat loaf made with ham,140.0
Ham and noodles with cream or white sauce,244.0
Ham and rice with mushroom sauce,248.0
Ham or pork with stuffing,200.0
Ham croquette,140.0
Pork and rice with tomato-based sauce,244.0
Sausage and rice with tomato-based sauce,244.0
Sausage and rice with mushroom sauce,244.0
Sausage and rice with cheese sauce,244.0
Sausage and noodles with cream or white sauce,244.0
"Ham and noodles, no sauce",157.0
"Ham or pork and rice, no sauce",196.0
Ham or pork and potatoes with gravy,252.0
Ham or pork and potatoes with cheese sauce,249.0
"Stewed pig's feet, Puerto Rican style",184.0
"Pork stew, with potatoes, tomato-based sauce, Mexican style",244.0
Lamb or mutton loaf,140.0
Lamb or mutton and potatoes with gravy,252.0
Lamb or mutton and potatoes with tomato-based sauce,252.0
Lamb or mutton and noodles with gravy,249.0
Meat loaf made with venison/deer,140.0
Veal and noodles with cream or white sauce,224.0
Venison or deer and noodles with cream or white sauce,249.0
Chicken or turkey hash,190.0
Chicken or turkey and potatoes with gravy,242.0
"Chicken or turkey and noodles, no sauce",157.0
Chicken or turkey and noodles with gravy,224.0
Chicken or turkey and noodles with mushroom sauce,224.0
Chicken or turkey and noodles with cream or white sauce,224.0
Chicken or turkey and noodles with cheese sauce,224.0
Chicken or turkey tetrazzini,246.0
Chicken or turkey and noodles with tomato-based sauce,224.0
Chicken or turkey and noodles with soy-based sauce,224.0
"Chicken or turkey and rice, no sauce",196.0
Biryani with chicken,196.0
Chicken or turkey and rice with cream sauce,248.0
Chicken or turkey and rice with mushroom sauce,248.0
Chicken or turkey and rice with tomato-based sauce,244.0
Chicken or turkey and rice with soy-based sauce,244.0
Chicken or turkey with dumplings,244.0
Chicken or turkey with stuffing,200.0
"Chicken or turkey cake, patty, or croquette",140.0
Chicken or turkey souffle,159.0
Meat loaf made with chicken or turkey,140.0
"Meat loaf made with chicken or turkey, with tomato-based sauce",178.0
Gefilte fish,250.0
Scallops and noodles with cheese sauce,224.0
"Shrimp and noodles, no sauce",157.0
Shrimp and noodles with gravy,224.0
Shrimp and noodles with mushroom sauce,224.0
Shrimp and noodles with cream or white sauce,224.0
Shrimp and noodles with soy-based sauce,224.0
Shrimp and noodles with cheese sauce,224.0
Shrimp and noodles with tomato sauce,224.0
Shrimp with crab stuffing,140.0
Imitation crab meat,135.0
Seafood souffle,159.0
Tuna noodle casserole with cream or white sauce,224.0
Tuna noodle casserole with mushroom sauce,224.0
Tuna and rice with mushroom sauce,248.0
Fish and rice with tomato-based sauce,248.0
Fish and rice with cream sauce,248.0
Fish and rice with mushroom sauce,248.0
Fish and noodles with mushroom sauce,224.0
Shellfish and noodles with tomato-based sauce,224.0
"Stewed salmon, Puerto Rican style",212.0
"Meat loaf, NS as to type of meat",140.0
"Meatballs, with breading, NS as to type of meat, with gravy",235.0
Meat loaf made with beef and pork,140.0
"Meat loaf made with beef, veal and pork",140.0
"Meat loaf made with beef and pork, with tomato-based sauce",178.0
"Hash, NS as to type of meat",190.0
"Vienna sausages stewed with potatoes, Puerto Rican style",175.0
"Stewed, seasoned, ground beef and pork with potatoes, Mexican style",222.0
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",162.0
"Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce",162.0
"Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",162.0
"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",162.0
"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",252.0
"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",252.0
"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",252.0
"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",252.0
Shepherd's pie,200.0
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",252.0
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",252.0
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",252.0
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",252.0
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",252.0
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",252.0
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",252.0
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",252.0
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",252.0
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",252.0
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",162.0
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",162.0
Beef chow mein or chop suey with noodles,220.0
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",217.0
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",217.0
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",249.0
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",249.0
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",249.0
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",249.0
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",249.0
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",249.0
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",162.0
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",162.0
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",249.0
"Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",249.0
Stuffed cabbage rolls with beef and rice,162.0
Stuffed grape leaves with beef and rice,162.0
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",249.0
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",249.0
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",249.0
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",249.0
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",249.0
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",249.0
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",217.0
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",217.0
"Pot pie, beef",200.0
"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",249.0
"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",249.0
"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",162.0
"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",162.0
"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",241.0
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",162.0
"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",249.0
"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",249.0
"Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",249.0
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",252.0
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",252.0
"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",252.0
"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",252.0
"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",252.0
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",252.0
"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",162.0
Pork chow mein or chop suey with noodles,220.0
"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",217.0
"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",217.0
"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",249.0
"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",249.0
"Ham, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",162.0
"Ham, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",162.0
Sweet and sour pork with rice,244.0
"Lamb or mutton, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",252.0
"Lamb or mutton, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",252.0
"Lamb or mutton, rice, and vegetables  including carrots, broccoli, and/or dark-green leafy; gravy",252.0
Stuffed grape leaves with lamb and rice,162.0
"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",252.0
"Veal fricassee, Puerto Rican style",230.0
"Stewed rabbit, Puerto Rican style,",219.0
"Venison or deer stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",252.0
"Venison or deer, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",252.0
"Venison or deer, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",252.0
"Venison or deer, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",249.0
"Venison or deer, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",249.0
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",162.0
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",162.0
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",252.0
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",252.0
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",252.0
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",252.0
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",252.0
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",252.0
"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",252.0
"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",252.0
"Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",252.0
"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato- based sauce",247.0
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",162.0
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",162.0
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",224.0
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",224.0
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",224.0
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",224.0
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",224.0
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",224.0
Chicken or turkey chow mein or chop suey with noodles,220.0
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",244.0
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",244.0
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",162.0
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",162.0
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",252.0
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",252.0
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",217.0
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",217.0
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",252.0
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",252.0
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",249.0
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",249.0
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",249.0
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",249.0
"Pot pie, chicken",200.0
"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",162.0
"Chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce",162.0
"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",244.0
"Chicken or turkey, stuffing, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",244.0
"Chicken or turkey, dumplings, and vegetables including carrots, broccoli, and/or dark green leafy; gravy",249.0
"Chicken or turkey, dumplings, and vegetables excluding carrots, broccoli, and dark green leafy; gravy",249.0
"Chicken fricassee, Puerto Rican style",223.0
Paella with seafood,240.0
Shrimp chow mein or chop suey with noodles,220.0
"Shrimp creole, with rice",243.0
"Tuna noodle casserole with vegetables, cream or white sauce",224.0
"Fish, noodles, and vegetables including carrots, broccoli, and/or dark green leafy; cheese sauce",244.0
"Fish, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",244.0
Bouillabaisse,250.0
"Seafood stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",252.0
Tuna noodle casserole with vegetables and mushroom sauce,224.0
"Codfish with starchy vegetables, Puerto Rican style",173.0
"Biscayne codfish, Puerto Rican style",175.0
"Stew, NFS",252.0
"Chow mein or chop suey, NS as to type of meat, with noodles",220.0
"Paella, NFS",240.0
"Chow mein or chop suey, various types of meat, with noodles",220.0
"Stewed variety meats, mostly liver, Puerto Rican style",165.0
"Stewed tripe, with potatoes, Puerto Rican style",280.0
Gumbo with rice,244.0
Jambalaya with meat and rice,244.0
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",162.0
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",162.0
"Beef shish kabob with vegetables, excluding potatoes",154.0
"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",249.0
Swiss steak,249.0
"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",249.0
"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce",252.0
"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",252.0
